symbol,latest_decile,latest_pred_ret,n_deciles
TIX,8,3.18,10
TLD,2,-2.07,10
TLG,8,1.97,10
TLH,4,-1.13,10
TMP,7,1.25,10
TMS,6,0.6,10
TMT,4,0.03,10
TN1,1,-4.13,10
TNC,8,6.31,10
TNH,10,3.04,10
TNI,3,-1.93,10
TNT,7,2.48,10
TPB,10,2.27,10
TPC,4,-1.27,10
TRA,7,1.02,10
TRC,10,8.21,10
TSC,10,4.21,10
TTA,6,0.16,10
TTF,3,-2.83,10
TV2,6,0.5,10
TVB,10,3.27,10
TVS,7,0.82,10
TVT,2,-1.34,10
TYA,5,0.09,10
UIC,10,3.02,10
VAB,8,1.1,10
VBB,5,0.5,10
VCA,1,-7.04,10
VCB,1,-1.79,10
VCF,6,1.52,10
VCG,3,-0.53,10
VCI,4,-0.09,10
VDP,10,5.29,10
VDS,7,1.97,10
VFG,1,-1.9,10
VGC,10,4.38,10
VHC,10,3.4,10
VHM,7,2.38,10
VIB,9,3.16,10
VIC,2,-1.52,10
VID,10,9.34,10
VIP,10,3.82,10
VIX,5,0.52,10
VJC,10,5.83,10
VMD,8,1.94,10
VND,1,-5.1,10
VNG,10,2.39,10
VNL,4,0.36,10
VNM,1,-1.52,10
VNS,1,-3.1,10
VOS,8,1.37,10
VPB,1,-2.45,10
VPD,7,1.58,10
VPG,10,3.3,10
VPH,8,1.87,10
VPI,2,-0.78,10
VPL,1,-1.68,10
VPS,2,-1.84,10
VRC,8,5.37,10
VRE,6,0.67,10
VSC,8,1.64,10
VSH,5,0.75,10
VSI,1,-1.58,10
VTB,2,-2.7,10
VTO,10,5.53,10
VTP,8,2.25,10
YBM,1,-5.33,10
YEG,5,-0.35,10
