symbol,score,oos_ic,train_ic,train_oos_gap,hit_rate_oos,hit_rate_train,n_signals,chosen_alpha,a,b,c,d,alpha_is_high
DHC,0.44624214404434476,0.7377865327199088,0.5360315716230175,-0.20175496109689128,0.9,0.687374749498998,30,1000.0,70,250,40,20,True
DHG,0.35098100687897654,0.5878705685253528,0.5237600007774097,-0.0641105677479431,0.625,0.6142857142857143,16,1000.0,120,70,40,40,True
DHM,0.3063296395816615,0.43335728794271333,0.5177412869407899,0.08438399899807658,0.6,0.5775862068965517,20,1000.0,60,230,15,5,True
DIG,0.5189601189330458,0.5444571454795644,0.5435228185790734,-0.0009343269004910004,0.3333333333333333,0.7450424929178471,9,1000.0,300,190,45,20,True
DLG,0.3197071403332281,0.19688491333749306,0.44544478193954207,0.248559868602049,0.18181818181818182,0.6116910229645094,11,1000.0,300,220,50,5,True
DMC,0.3238217665455331,0.26624423163035804,0.515233042562299,0.24898881093194092,0.5405405405405406,0.5940099833610649,37,1000.0,190,30,15,25,True
DPG,0.46285817559664283,0.6612628623419246,0.5581386171617516,-0.10312424518017294,0.7272727272727273,0.6934189406099518,11,1000.0,60,210,45,30,True
DPM,0.483890113504014,0.3287622685625292,0.5605405011513392,0.23177823258881003,0.42105263157894735,0.7101449275362319,38,1000.0,120,20,55,35,True
DPR,0.42971581735566244,0.33576435381135816,0.5383992865077085,0.20263493269635036,0.25,0.6734375,60,1000.0,140,170,15,20,True
DQC,0.33714281859532996,0.3330004501079539,0.4504608371020434,0.11746038699408945,0.5555555555555556,0.6245487364620939,9,1000.0,130,230,55,15,True
DRC,0.5147179375816491,0.5237474315719207,0.5936748585301271,0.06992742695820642,0.6666666666666666,0.7254004576659039,6,1000.0,60,80,40,40,True
DRH,0.3649125093686189,0.6343297291902548,0.4853034253202816,-0.14902630386997318,0.43902439024390244,0.6360759493670886,41,1000.0,250,210,40,20,True
DRL,0.5018023789479675,0.5461080921604511,0.6383432339611027,0.09223514180065162,0.3333333333333333,0.7159090909090909,12,187.3817422860385,110,100,55,20,False
DSC,0.33702379326905135,0.3442301058321973,0.45469953552864917,0.11046942969645185,0.3220338983050847,0.6230366492146597,59,1000.0,300,110,40,30,True
DSN,0.3620204988784711,0.27911891749710616,0.4677189206875528,0.18860000319044662,0.3902439024390244,0.6435845213849287,41,1000.0,100,90,55,20,True
DTA,0.4152397719099496,0.3367941156356862,0.5107287401197015,0.1739346244840153,0.5217391304347826,0.6695402298850575,23,1000.0,190,90,35,35,True
DTL,0.4232204719786293,0.3905633819600116,0.5370910126215672,0.1465276306615556,0.5,0.7296416938110749,0,1000.0,110,170,50,15,True
DTT,0.203274499746524,0.17895207070842314,0.5587218405735219,0.3797697698650988,0.4523809523809524,0.55,42,1000.0,80,20,40,35,True
DVP,0.3983421586054436,0.2452734226603276,0.4874901632387978,0.2422167405784702,0.7547169811320755,0.6661849710982659,53,1000.0,300,300,20,20,True
DXG,0.4785475591841441,0.6391339187315932,0.5482071332544778,-0.09092678547711541,0.38235294117647056,0.7098039215686275,34,1000.0,110,90,30,35,True
DXS,0.44731599458797167,0.3528241575958223,0.5566583398146976,0.20383418221887528,0.2608695652173913,0.6809605488850772,23,1000.0,180,50,35,20,True
DXV,0.4538776080238318,0.4454169562960504,0.5746396722334927,0.12922271593744228,0.2,0.6804347826086956,15,187.3817422860385,300,30,60,35,False
EIB,0.4973003121457814,0.47926646635891984,0.5937587308944887,0.11449226453556888,0.1891891891891892,0.7102473498233216,37,432.87612810830615,110,200,45,30,False
